word,meaning,image
クエスチョン　What’s this?,It's a cake.,cake.png
クエスチョン　What’s this?,It's pudding.,pudding.png
クエスチョン　What’s this?,It's ice cream.,ice cream.png
クエスチョン　What’s this?,It's chocolate.,chocolate.png
クエスチョン　What’s this?,It's a cookie.,cookie.png
クエスチョン　What’s this?,It's a donut.,donut.png
クエスチョン　What’s this?,It's a cream puff.,cream puff.png
クエスチョン　What’s this?,It's jelly.,jelly.png
クエスチョン　What’s this?,It's candy.,candy.png
クエスチョン　What’s this?,It's a rice cake.,rice cake.png
クエスチョン　What’s this?,It's a parfait.,parfait.png
