word,meaning,image
国語,Japanese Language,Japanese Language.png
社会,Social Studies,Social Studies.png
算数,Arithmetic,Arithmetic.png
理科,Science,Science.png
生活,Living Environment Studies,Living Environment Studies.png
音楽,Music,Music.png
図画工作,Arts and Crafts,Arts and Crafts.png
家庭,Home Economics,Home Economics.png
体育,Physical Education,Physical Education.png
外国語,Foreign Language,Foreign Language.png
外国語活動,Foreign Language Activities,Foreign Language Activities.png
道徳,Moral Education,Moral Education.png
