word,meaning,image
数学,Mathematics,Mathematics.png
美術,Art,Art.png
保健体育,Health and Physical Education,Health and Physical Education.png
技術・家庭,Technology and Home Economics,Technology and Home Economics.png
地理（社会）,Geography,Geography.png
歴史（社会）,History,History.png
公民（社会）,Civics,Civics.png
英語,English,English.png
総合的な学習の時間,Period for Integrated Studies,Period for Integrated Studies.png
特別活動,Special Activities,Special Activities.png
学級活動,Class Activities,Class Activities.png
学校行事,School Events,School Events.png
