word,meaning,image
絵を描く,draw a picture,draw a picture.png
楽器を演奏する,play an instrument,play an instrument.png
歌を歌う,sing a song,sing a song.png
劇の練習をする,practice a play,practice a play.png
本を読む,read a book,read a book.png
実験をする,do an experiment,do an experiment.png
お菓子を作る,make sweets,make sweets.png
写真を撮る,take a picture,take a picture.png
書道をする,do calligraphy,do calligraphy.png
コンピューターを使う,use a computer,use a computer.png
花を生ける,arrange flowers,arrange flowers.png
英語を話す,speak English,speak English.png
