word,meaning,image
野球をする,play baseball,play baseball.png
サッカーをする,play soccer,play soccer.png
バスケットボールをする,play basketball,play basketball.png
テニスをする,play tennis,play tennis.png
バレーボールをする,play volleyball,play volleyball.png
柔道をする,do judo,do judo.png
泳ぐ練習をする,practice swimming,practice swimming.png
走る練習をする,practice running,practice running.png
ボールを投げる,throw a ball,throw a ball.png
ボールを捕る,catch a ball,catch a ball.png
ボールを蹴る,kick a ball,kick a ball.png
ボールを打つ,hit a ball,hit a ball.png
泳ぐ,swim,practice swimming.png
走る,run,practice running.png
