word,meaning,image
おにぎり,rice ball,rice ball.png
ハンバーグ,hamburger steak,hamburger steak.png
味噌汁,miso soup,miso soup.png
サンドイッチ,sandwich,sandwich.png
スパゲッティ,spaghetti,spaghetti.png
カレーライス,curry and rice,curry and rice.png
サラダ,salad,salad.png
牛丼,beef bowl,beef bowl.png
オムライス,omelet rice,omelet rice.png
唐揚げ,fried chicken,fried chicken.png
トンカツ,pork cutlet,pork cutlet.png
親子丼,chicken and egg bowl,chicken and egg bowl.png
ピザ,pizza,pizza.png
ホットドッグ,hotdog,hotdog.png
フライドポテト,fried potato,fried potato.png
